latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-07T03:00,18.1,97,17.5,0.00,0.00
2024-01-07T04:00,18.0,97,17.5,0.00,0.00
2024-01-07T05:00,17.1,98,16.7,0.00,0.00
2024-01-07T06:00,16.8,97,16.3,0.00,0.00
2024-01-07T07:00,16.2,94,15.3,0.00,0.00
2024-01-07T08:00,19.6,77,15.4,0.00,0.00
2024-01-07T09:00,22.5,57,13.6,0.00,0.00
2024-01-07T10:00,25.2,42,11.5,0.00,0.00
2024-01-07T11:00,27.6,34,10.1,0.00,0.00
2024-01-07T12:00,29.1,31,10.5,0.00,0.00
2024-01-07T13:00,30.1,30,10.8,0.00,0.00
2024-01-07T14:00,31.0,29,10.7,0.00,0.00
2024-01-07T15:00,31.5,27,10.4,0.00,0.00
2024-01-07T16:00,29.1,33,11.3,0.00,0.00
2024-01-07T17:00,28.8,35,11.9,0.00,0.00
2024-01-07T18:00,27.7,56,18.0,0.00,0.00
2024-01-07T19:00,24.6,51,13.8,0.00,0.00
2024-01-07T20:00,24.4,45,11.6,0.00,0.00
2024-01-07T21:00,21.8,62,14.3,0.00,0.00
2024-01-07T22:00,20.5,75,15.8,0.00,0.00
2024-01-07T23:00,19.6,81,16.2,0.00,0.00
2024-01-08T00:00,19.2,82,16.0,0.00,0.00
2024-01-08T01:00,18.6,85,16.0,0.00,0.00
2024-01-08T02:00,17.9,89,16.0,0.00,0.00
2024-01-08T03:00,18.8,84,16.0,0.00,0.00
2024-01-08T04:00,19.5,79,15.8,0.00,0.00
2024-01-08T05:00,19.7,77,15.7,0.00,0.00
2024-01-08T06:00,20.1,76,15.8,0.00,0.00
2024-01-08T07:00,20.1,78,16.1,0.00,0.00
2024-01-08T08:00,20.9,77,16.8,0.00,0.00
2024-01-08T09:00,23.4,71,17.7,0.00,0.00
2024-01-08T10:00,25.9,56,16.5,0.00,0.00
2024-01-08T11:00,27.3,43,13.7,0.10,0.10
2024-01-08T12:00,28.5,40,13.6,0.10,0.10
2024-01-08T13:00,29.5,38,13.7,0.00,0.00
2024-01-08T14:00,30.2,36,13.5,0.00,0.00
2024-01-08T15:00,30.0,36,13.1,0.10,0.10
2024-01-08T16:00,28.3,42,14.2,0.20,0.20
2024-01-08T17:00,28.1,43,14.2,0.00,0.00
2024-01-08T18:00,26.2,54,16.2,0.00,0.00
2024-01-08T19:00,23.5,72,18.2,0.00,0.00
2024-01-08T20:00,23.0,75,18.4,0.00,0.00
2024-01-08T21:00,22.2,76,17.7,0.00,0.00
2024-01-08T22:00,22.2,77,17.9,0.00,0.00
2024-01-08T23:00,22.1,78,18.0,0.00,0.00
2024-01-09T00:00,21.4,82,18.2,0.00,0.00
2024-01-09T01:00,21.3,82,18.1,0.00,0.00
2024-01-09T02:00,21.2,87,18.9,0.00,0.00
2024-01-09T03:00,21.1,86,18.7,0.00,0.00
2024-01-09T04:00,20.7,87,18.5,0.00,0.00
