latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2020-01-03T22:00,20.3,84,17.5,0.00,0.00
2020-01-03T23:00,19.9,86,17.5,0.00,0.00
2020-01-04T00:00,19.5,88,17.5,0.00,0.00
2020-01-04T01:00,19.3,90,17.7,0.00,0.00
2020-01-04T02:00,19.4,90,17.7,0.00,0.00
2020-01-04T03:00,18.4,93,17.3,0.00,0.00
2020-01-04T04:00,18.8,92,17.5,0.00,0.00
2020-01-04T05:00,18.2,94,17.2,0.00,0.00
2020-01-04T06:00,18.0,94,16.9,0.00,0.00
2020-01-04T07:00,17.8,94,16.8,0.00,0.00
2020-01-04T08:00,20.3,84,17.6,0.00,0.00
2020-01-04T09:00,23.3,72,17.9,0.00,0.00
2020-01-04T10:00,25.4,55,15.7,0.00,0.00
2020-01-04T11:00,26.4,52,15.8,0.00,0.00
2020-01-04T12:00,27.5,50,16.0,0.00,0.00
2020-01-04T13:00,28.2,47,15.9,0.00,0.00
2020-01-04T14:00,28.5,46,15.8,0.00,0.00
2020-01-04T15:00,27.3,46,14.7,0.00,0.00
2020-01-04T16:00,27.3,47,15.1,0.00,0.00
2020-01-04T17:00,25.2,67,18.6,0.00,0.00
2020-01-04T18:00,23.9,73,18.8,0.00,0.00
2020-01-04T19:00,22.3,82,19.1,0.00,0.00
2020-01-04T20:00,21.3,85,18.7,0.00,0.00
2020-01-04T21:00,20.9,87,18.6,0.00,0.00
2020-01-04T22:00,20.3,89,18.4,0.00,0.00
2020-01-04T23:00,20.0,90,18.3,0.00,0.00
2020-01-05T00:00,19.6,91,18.1,0.00,0.00
2020-01-05T01:00,19.3,94,18.2,0.00,0.00
2020-01-05T02:00,19.4,91,17.8,0.00,0.00
2020-01-05T03:00,19.0,93,17.8,0.10,0.10
2020-01-05T04:00,19.2,90,17.6,0.00,0.00
2020-01-05T05:00,19.0,91,17.6,0.00,0.00
2020-01-05T06:00,18.4,94,17.5,0.00,0.00
2020-01-05T07:00,18.6,91,17.1,0.00,0.00
2020-01-05T08:00,19.8,85,17.2,0.00,0.00
2020-01-05T09:00,22.0,75,17.5,0.00,0.00
